100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000	100000.000000
98145.348178	98279.106390	98418.068764	98491.991080	98608.064881	98801.539056	98827.837011	98915.695801	98946.136897	99028.700560	99124.058655	99099.388820	99124.966984	99200.796107	99225.266268	99236.935245
98024.263118	98163.632810	98302.163681	98370.132061	98499.285877	98697.685697	98732.879673	98829.683365	98855.009468	98947.683098	99045.458988	99020.710570	99061.403618	99128.484030	99161.776326	99164.345590
97951.695749	98097.179497	98227.331421	98292.892734	98429.126149	98626.639781	98665.435872	98775.779698	98799.546134	98890.672548	98996.599732	98977.423570	99019.121988	99083.879042	99117.285840	99121.443299
97892.579115	98046.883939	98169.276777	98238.054434	98369.989881	98580.228120	98617.075803	98736.599112	98756.241484	98853.568101	98956.741330	98943.982323	98986.278025	99052.135123	99081.134798	99088.067376
97842.322527	98005.315196	98125.510631	98194.982504	98325.704567	98543.971765	98578.235003	98706.927837	98718.265379	98822.019847	98926.144187	98912.360938	98958.841613	99025.342992	99047.641823	99058.394638
97800.292593	97959.589163	98085.274638	98161.044709	98285.637430	98504.322229	98543.528325	98675.857001	98683.623391	98792.868138	98897.998705	98885.477674	98933.382034	99000.713745	99022.959564	99030.723181
97760.436062	97922.815130	98050.855263	98127.821429	98251.833412	98460.543131	98514.357432	98647.274858	98657.466308	98767.645780	98870.660061	98857.867988	98909.491103	98977.483819	99001.340262	99005.456470
97724.818913	97890.652382	98012.354381	98092.693260	98218.155769	98427.441375	98484.867701	98622.688445	98632.649363	98745.150287	98845.767207	98831.069825	98885.466088	98953.196973	98976.792132	98983.673463
97688.335538	97859.280940	97980.416026	98055.363662	98184.702263	98399.096869	98458.791357	98595.276030	98605.729811	98719.460259	98820.247306	98811.378867	98866.811993	98934.796052	98960.164375	98963.808240
97657.741593	97828.942363	97948.048395	98021.540073	98155.452689	98371.489254	98433.735387	98570.536062	98584.002197	98699.054245	98797.398057	98788.784432	98849.015907	98916.648936	98939.559155	98942.868955
97626.201053	97799.433549	97919.118902	97992.980252	98121.700627	98338.672055	98407.967035	98547.410475	98558.543487	98678.368546	98774.192894	98770.125493	98832.504180	98896.063321	98918.528755	98925.341392
97596.171065	97772.430126	97891.443450	97961.050133	98096.170801	98310.857901	98385.421251	98524.023795	98535.588736	98657.225997	98750.089955	98748.873023	98812.241196	98875.179183	98902.644105	98903.217488
97565.289688	97740.791501	97861.695290	97929.193204	98069.456238	98280.870558	98358.688690	98498.439302	98510.261390	98633.074450	98726.123689	98725.987965	98791.448130	98856.565429	98881.939759	98880.673231
97531.146613	97712.488384	97827.586719	97897.304511	98038.396122	98254.639490	98328.571006	98470.149965	98485.119598	98606.977421	98703.613859	98702.198281	98766.644185	98834.314928	98857.751037	98854.118581
97491.988101	97675.972074	97796.554825	97860.603183	97997.072731	98223.910469	98289.925439	98443.995488	98455.297733	98573.808913	98670.150143	98672.713637	98740.488362	98807.890956	98826.844020	98822.761835
97449.302645	97635.444907	97756.435691	97816.224464	97954.676063	98181.126820	98249.492728	98412.249439	98417.881432	98538.172653	98633.470791	98635.214953	98703.572089	98772.240672	98787.247888	98785.874702
97396.926413	97580.076851	97703.580308	97767.845262	97903.768288	98133.146160	98201.577212	98368.220932	98377.034768	98493.609609	98588.517098	98585.393255	98652.411970	98726.111718	98733.826820	98733.884595
97339.445379	97526.357387	97645.624203	97708.298537	97841.467051	98080.218957	98153.239588	98313.334943	98322.329597	98438.362238	98537.233786	98529.629895	98594.386318	98658.282535	98667.374629	98666.148267
97277.612904	97455.535003	97577.960797	97630.097640	97772.162254	98022.199464	98092.742557	98255.721923	98259.293387	98375.347446	98478.180248	98462.172771	98506.767268	98585.385419	98584.871470	98590.261419
97205.718842	97385.029436	97507.357543	97550.889787	97695.730859	97954.853962	98022.376627	98195.340602	98186.442280	98299.884615	98411.558575	98387.865753	98420.481916	98505.116638	98504.999283	98504.044929
97126.038918	97310.013742	97435.342625	97472.495104	97618.020097	97888.799031	97950.651435	98130.887872	98123.178179	98228.568978	98342.694439	98318.890106	98340.513718	98412.898428	98411.582605	98412.355298
97053.332372	97244.551929	97357.576064	97401.774602	97543.271429	97814.142347	97871.855056	98064.878164	98052.767844	98151.483761	98266.030380	98236.519045	98258.140305	98321.931318	98312.884475	98316.601188
96978.751723	97172.554987	97285.782665	97320.034560	97465.307631	97743.480604	97804.873014	97993.876228	97972.029799	98080.067813	98187.417935	98156.671737	98167.953058	98231.601511	98213.479478	98216.556405
96908.445254	97104.679891	97208.571879	97238.557567	97386.688608	97669.921197	97733.657118	97926.965243	97898.323767	98007.355150	98112.105688	98076.944097	98073.210882	98135.441993	98106.241745	98111.818877
96832.847422	97029.062964	97133.269751	97154.238455	97312.832925	97591.084577	97665.439046	97859.158396	97823.220653	97932.946175	98027.505534	97992.832964	97978.829803	98040.366789	98009.124054	98005.964127
96756.649607	96950.934285	97057.298603	97075.763610	97235.260076	97512.273400	97588.096215	97792.104054	97748.948127	97862.909905	97946.866081	97911.412455	97890.987287	97943.757824	97890.285498	97898.921629
96681.803575	96877.700122	96976.482932	96998.924907	97152.318142	97436.865028	97525.743269	97720.185766	97673.079268	97790.769574	97867.172579	97827.231608	97798.009988	97842.377208	97783.290114	97786.900608
96595.757433	96805.101218	96904.181172	96914.869937	97073.905564	97361.100186	97450.147399	97646.641668	97596.167490	97717.873617	97793.667042	97748.248031	97707.822499	97741.452625	97673.733321	97664.913525
