98378.754444	98480.200609	98604.763578	98671.332144	98773.556399	98948.809402	98966.233478	99046.478027	99075.264353	99152.178294	99236.959730	99211.861229	99234.215588	99309.603453	99323.771745	99335.464359
98076.943735	98212.099078	98353.346821	98424.387053	98549.233871	98741.775110	98776.182517	98870.594912	98896.742781	98985.170767	99080.212373	99053.761636	99087.794796	99160.638716	99189.811902	99199.282564
97985.889434	98129.082449	98261.558038	98326.974916	98459.492925	98659.727952	98699.359328	98800.839716	98824.759874	98916.790254	99019.419477	98996.396413	99038.780523	99104.914567	99139.285042	99140.251119
97921.578719	98071.662962	98195.546963	98263.823346	98398.562446	98601.269487	98639.420719	98754.789012	98775.841848	98869.973919	98975.465474	98959.046700	99001.959637	99068.561106	99098.648136	99104.057209
97864.126903	98024.437046	98146.488689	98215.233185	98345.601817	98562.490887	98597.517066	98721.144758	98736.425321	98838.328864	98940.577675	98927.091782	98971.451905	99037.478725	99064.501681	99073.610593
97820.964612	97981.745313	98104.120842	98177.500584	98303.719073	98522.450064	98559.413124	98691.162079	98702.029403	98806.615905	98911.171585	98898.677130	98946.044636	99013.018057	99034.988436	99045.116248
97779.348721	97940.667384	98066.358291	98143.858565	98267.550006	98478.751874	98527.933733	98661.233124	98670.323194	98780.289489	98882.282551	98870.667993	98920.343379	98989.016886	99012.601210	99017.587669
97742.403709	97907.830336	98030.938293	98109.145631	98234.764330	98443.221460	98498.379441	98634.788092	98643.824011	98755.134302	98858.174387	98843.395867	98897.079229	98965.253546	98989.952066	98994.078850
97705.621157	97874.398240	97996.127280	98073.362445	98200.344998	98411.919151	98471.636635	98609.746732	98618.138010	98732.554797	98833.918265	98821.517634	98875.809955	98944.331684	98968.701867	98973.327528
97672.998276	97844.125399	97964.201419	98037.847036	98170.210072	98384.205877	98446.083175	98582.937895	98594.345748	98709.580060	98808.313746	98800.214802	98857.513206	98925.850877	98950.550161	98953.528598
97641.308427	97814.551978	97932.638608	98007.950653	98138.386946	98354.702665	98420.446913	98557.587777	98569.737733	98688.716681	98785.107683	98778.667465	98840.873552	98904.995600	98928.286506	98934.153427
97610.864222	97786.144004	97905.120657	97977.124643	98109.718400	98324.284640	98396.664494	98535.593917	98546.702658	98668.157295	98760.900610	98759.483084	98822.317375	98885.702294	98910.279233	98914.657058
97579.947453	97756.738671	97876.568171	97944.699148	98082.396092	98295.600904	98371.816010	98511.066208	98522.962632	98645.123339	98738.045035	98737.789587	98801.924053	98866.148792	98893.009266	98892.549592
97548.250399	97725.992192	97843.876099	97912.843342	98052.373575	98266.932625	98344.237676	98484.279920	98497.424248	98618.825252	98714.751354	98714.243031	98779.615645	98845.640274	98870.031279	98867.352089
97510.889675	97694.198677	97813.266038	97878.790551	98017.138454	98239.444497	98309.199294	98456.268335	98469.557317	98591.801140	98686.545082	98686.887236	98754.170089	98822.376929	98841.870919	98838.118554
97469.707428	97655.773475	97776.732411	97837.441140	97975.227907	98202.451449	98269.989632	98428.484861	98436.700294	98556.352490	98652.371854	98653.944981	98722.716594	98789.946087	98808.761969	98804.891013
97421.595051	97606.277050	97730.260449	97791.349901	97928.528347	98156.287782	98224.780635	98390.742904	98397.730600	98516.033386	98611.932629	98611.203335	98678.840622	98750.807744	98763.594633	98760.663062
97367.979117	97551.676207	97674.689913	97737.036875	97871.630543	98106.293192	98177.604230	98341.647492	98349.546888	98465.582853	98563.160360	98557.909751	98624.138954	98691.260248	98700.262059	98700.147798
97306.491639	97491.798863	97612.701657	97667.902776	97804.323391	98050.546490	98123.565754	98283.892201	98290.058488	98407.607280	98506.842436	98495.530467	98552.311337	98622.440998	98626.932670	98627.073548
97238.247451	97417.816638	97542.570551	97589.863590	97734.042495	97987.493958	98058.540469	98226.786251	98222.609096	98336.633132	98444.318971	98423.836204	98464.049861	98545.167381	98545.144672	98548.071105
97162.525545	97347.322942	97471.719789	97508.886319	97657.250630	97919.716529	97985.836254	98161.674159	98153.323883	98264.182772	98374.586796	98351.875994	98379.586989	98458.504021	98459.216781	98457.351987
97089.133559	97276.108272	97394.987278	97434.495592	97579.948024	97851.225108	97910.046037	98096.341437	98085.475433	98189.482068	98303.080599	98276.563758	98299.547535	98367.467458	98361.148184	98364.158255
97012.728688	97207.729500	97322.400072	97360.147843	97505.358712	97775.861444	97837.422634	98025.301237	98011.719233	98115.118270	98223.837046	98196.307289	98212.151959	98275.624590	98261.629955	98264.931317
96942.574613	97137.963824	97246.646890	97277.831913	97425.245229	97704.482021	97768.864104	97957.287176	97933.304563	98042.822517	98148.229633	98115.170963	98118.440745	98182.732328	98158.905131	98163.175015
96870.071720	97068.018880	97170.002620	97194.565683	97347.294311	97629.595020	97696.977148	97892.581793	97858.967158	97967.998223	98069.896778	98033.719172	98026.384547	98087.852853	98059.206225	98059.555105
96792.136892	96990.920799	97096.118829	97113.766709	97274.221524	97549.642336	97626.662182	97824.321508	97786.057060	97897.672899	97986.410321	97951.288853	97936.225134	97991.755217	97947.853795	97953.814430
96718.962655	96913.349027	97017.940997	97034.259658	97192.592097	97472.689221	97555.567079	97755.095390	97709.512834	97825.657111	97905.318565	97868.727572	97845.005440	97889.974981	97836.028904	97842.895563
96638.610759	96843.712300	96938.252672	96956.050235	97111.342033	97397.965818	97486.703191	97682.618660	97633.938674	97753.858947	97827.869703	97786.940075	97750.071587	97791.647603	97727.548904	97724.925376
96555.977117	96764.477911	96864.587090	96872.966075	97033.098046	97321.530075	97412.815957	97609.983860	97556.642474	97683.156327	97754.985181	97706.490808	97667.046947	97689.382046	97615.271071	97605.764547
